plot_id,latitude,longitude,biomass_per_ha,canopy_height,ndvi_mean,sar_vv,sar_vh
ORNL_059,35.966015,-84.285478,360.636030349963,31.8,0.8413124533929903,-7.616196204368801,-13.005461911643222
ORNL_059,35.966015,-84.285478,102.618227250578,23.4,0.8413124533929903,-7.616196204368801,-13.005461911643222
ORNL_059,35.966015,-84.285478,348.96719358109,32.1,0.8413124533929903,-7.616196204368801,-13.005461911643222
ORNL_059,35.966015,-84.285478,119.624814448898,23.8,0.8413124533929903,-7.616196204368801,-13.005461911643222
ORNL_060,35.962796,-84.286937,387.952462557534,35.2,0.8702239789196311,-9.015943888750117,-15.20547225063356
ORNL_060,35.962796,-84.286937,283.393510833886,29.8,0.8702239789196311,-9.015943888750117,-15.20547225063356
ORNL_060,35.962796,-84.286937,338.144760592745,34.7,0.8702239789196311,-9.015943888750117,-15.20547225063356
ORNL_060,35.962796,-84.286937,275.838216671713,30.5,0.8702239789196311,-9.015943888750117,-15.20547225063356
ORNL_061,35.964411,-84.284569,141.492821464319,23.8,0.8296508686119076,-8.29278303402918,-13.973084153221535
ORNL_061,35.964411,-84.284569,250.037200218829,39.5,0.8296508686119076,-8.29278303402918,-13.973084153221535
ORNL_061,35.964411,-84.284569,133.34882855414,27.9,0.8296508686119076,-8.29278303402918,-13.973084153221535
ORNL_061,35.964411,-84.284569,255.967606192867,26.3,0.8296508686119076,-8.29278303402918,-13.973084153221535
ORNL_062,35.960748,-84.280011,266.541374503008,26.1,0.8465481339099792,-5.327900148196302,-12.013054293990525
ORNL_062,35.960748,-84.280011,272.945033746491,26.2,0.8465481339099792,-5.327900148196302,-12.013054293990525
ORNL_062,35.960748,-84.280011,252.588214758726,25.8,0.8465481339099792,-5.327900148196302,-12.013054293990525
ORNL_062,35.960748,-84.280011,276.746552477142,26.3,0.8465481339099792,-5.327900148196302,-12.013054293990525
ORNL_063,35.965319,-84.277896,319.618285437793,34.1,0.8005833029529712,-9.313392183719483,-14.811487444147108
ORNL_063,35.965319,-84.277896,173.08721739419,32.6,0.8005833029529712,-9.313392183719483,-14.811487444147108
ORNL_063,35.965319,-84.277896,310.841425263169,33.4,0.8005833029529712,-9.313392183719483,-14.811487444147108
ORNL_063,35.965319,-84.277896,186.444605522947,32.7,0.8005833029529712,-9.313392183719483,-14.811487444147108
